PERMNO,date,TICKER,PRC
10138,1986-03-31,,
10138,1986-04-30,TROW,38.50000
10138,1986-05-30,TROW,37.25000
10138,1986-06-30,TROW,34.75000
10138,1986-07-31,TROW,31.75000
10138,1986-08-29,TROW,31.50000
10138,1986-09-30,TROW,28.75000
10138,1986-10-31,TROW,35.00000
10138,1986-11-28,TROW,32.75000
10138,1986-12-31,TROW,30.50000
10138,1987-01-30,TROW,40.50000
10138,1987-02-27,TROW,48.50000
10138,1987-03-31,TROW,44.00000
10138,1987-04-30,TROW,41.25000
10138,1987-05-29,TROW,37.25000
10138,1987-06-30,TROW,38.50000
10138,1987-07-31,TROW,40.50000
10138,1987-08-31,TROW,38.50000
10138,1987-09-30,TROW,33.25000
10138,1987-10-30,TROW,21.50000
10138,1987-11-30,TROW,20.00000
10138,1987-12-31,TROW,20.00000
10138,1988-01-29,TROW,24.50000
10138,1988-02-29,TROW,29.25000
10138,1988-03-31,TROW,27.50000
10138,1988-04-29,TROW,26.50000
10138,1988-05-31,TROW,26.50000
10138,1988-06-30,TROW,32.00000
10138,1988-07-29,TROW,33.00000
10138,1988-08-31,TROW,32.00000
10138,1988-09-30,TROW,35.25000
10138,1988-10-31,TROW,32.25000
10138,1988-11-30,TROW,33.25000
10138,1988-12-30,TROW,34.50000
10138,1989-01-31,TROW,38.50000
10138,1989-02-28,TROW,38.50000
10138,1989-03-31,TROW,40.00000
10138,1989-04-28,TROW,44.50000
10138,1989-05-31,TROW,44.50000
10138,1989-06-30,TROW,46.00000
10138,1989-07-31,TROW,49.00000
10138,1989-08-31,TROW,54.25000
10138,1989-09-29,TROW,53.12500
10138,1989-10-31,TROW,51.50000
10138,1989-11-30,TROW,52.50000
10138,1989-12-29,TROW,58.50000
10138,1990-01-31,TROW,25.75000
10138,1990-02-28,TROW,28.00000
10138,1990-03-30,TROW,29.87500
10138,1990-04-30,TROW,24.50000
10138,1990-05-31,TROW,28.25000
10138,1990-06-29,TROW,27.25000
10138,1990-07-31,TROW,26.00000
10138,1990-08-31,TROW,21.25000
10138,1990-09-28,TROW,20.50000
10138,1990-10-31,TROW,16.25000
10138,1990-11-30,TROW,19.00000
10138,1990-12-31,TROW,24.00000
10138,1991-01-31,TROW,21.25000
10138,1991-02-28,TROW,23.75000
10138,1991-03-28,TROW,28.50000
10138,1991-04-30,TROW,27.00000
10138,1991-05-31,TROW,27.75000
10138,1991-06-28,TROW,27.50000
10138,1991-07-31,TROW,31.75000
10138,1991-08-30,TROW,33.12500
10138,1991-09-30,TROW,34.00000
10138,1991-10-31,TROW,36.75000
10138,1991-11-29,TROW,32.87500
10138,1991-12-31,TROW,45.00000
10138,1992-01-31,TROW,46.50000
10138,1992-02-28,TROW,45.50000
10138,1992-03-31,TROW,36.75000
10138,1992-04-30,TROW,34.50000
10138,1992-05-29,TROW,35.75000
10138,1992-06-30,TROW,37.37500
10138,1992-07-31,TROW,41.50000
10138,1992-08-31,TROW,38.12500
10138,1992-09-30,TROW,36.75000
10138,1992-10-30,TROW,38.00000
10138,1992-11-30,TROW,43.25000
10138,1992-12-31,TROW,45.50000
10138,1993-01-29,TROW,49.12500
10138,1993-02-26,TROW,45.25000
10138,1993-03-31,TROW,44.25000
10138,1993-04-30,TROW,43.62500
10138,1993-05-28,TROW,46.75000
10138,1993-06-30,TROW,46.00000
10138,1993-07-30,TROW,54.25000
10138,1993-08-31,TROW,60.25000
10138,1993-09-30,TROW,61.37500
10138,1993-10-29,TROW,59.00000
10138,1993-11-30,TROW,60.00000
10138,1993-12-31,TROW,29.00000
10138,1994-01-31,TROW,32.50000
10138,1994-02-28,TROW,31.25000
10138,1994-03-31,TROW,28.00000
10138,1994-04-29,TROW,28.50000
10138,1994-05-31,TROW,30.18750
10138,1994-06-30,TROW,26.50000
10138,1994-07-29,TROW,28.06250
10138,1994-08-31,TROW,32.00000
10138,1994-09-30,TROW,33.50000
10138,1994-10-31,TROW,34.25000
10138,1994-11-30,TROW,29.25000
10138,1994-12-30,TROW,30.00000
10138,1995-01-31,TROW,27.50000
10138,1995-02-28,TROW,32.00000
10138,1995-03-31,TROW,36.37500
10138,1995-04-28,TROW,36.75000
10138,1995-05-31,TROW,36.50000
10138,1995-06-30,TROW,38.50000
10138,1995-07-31,TROW,44.00000
10138,1995-08-31,TROW,47.50000
10138,1995-09-29,TROW,51.25000
10138,1995-10-31,TROW,49.75000
10138,1995-11-30,TROW,52.87500
10138,1995-12-29,TROW,49.25000
10138,1996-01-31,TROW,54.00000
10138,1996-02-29,TROW,53.75000
10138,1996-03-29,TROW,53.00000
10138,1996-04-30,TROW,55.75000
10138,1996-05-31,TROW,28.00000
10138,1996-06-28,TROW,30.75000
10138,1996-07-31,TROW,28.12500
10138,1996-08-30,TROW,29.00000
10138,1996-09-30,TROW,32.50000
10138,1996-10-31,TROW,34.12500
10138,1996-11-29,TROW,36.12500
10138,1996-12-31,TROW,43.50000
10138,1997-01-31,TROW,41.25000
10138,1997-02-28,TROW,44.12500
10138,1997-03-31,TROW,37.12500
10138,1997-04-30,TROW,46.25000
10138,1997-05-30,TROW,49.25000
10138,1997-06-30,TROW,51.62500
10138,1997-07-31,TROW,54.25000
10138,1997-08-29,TROW,55.00000
10138,1997-09-30,TROW,67.25000
10138,1997-10-31,TROW,66.25000
10138,1997-11-28,TROW,65.00000
10138,1997-12-31,TROW,62.87500
10138,1998-01-30,TROW,64.75000
10138,1998-02-27,TROW,66.37500
10138,1998-03-31,TROW,70.37500
10138,1998-04-30,TROW,75.50000
10138,1998-05-29,TROW,35.43750
10138,1998-06-30,TROW,37.56250
10138,1998-07-31,TROW,35.50000
10138,1998-08-31,TROW,30.43750
10138,1998-09-30,TROW,29.37500
10138,1998-10-30,TROW,35.56250
10138,1998-11-30,TROW,35.75000
10138,1998-12-31,TROW,34.25000
10138,1999-01-29,TROW,36.56250
10138,1999-02-26,TROW,30.81250
10138,1999-03-31,TROW,34.37500
10138,1999-04-30,TROW,37.68750
10138,1999-05-28,TROW,38.62500
10138,1999-06-30,TROW,38.37500
10138,1999-07-30,TROW,35.00000
10138,1999-08-31,TROW,30.93750
10138,1999-09-30,TROW,27.43750
10138,1999-10-29,TROW,35.50000
10138,1999-11-30,TROW,36.00000
10138,1999-12-31,TROW,36.93750
10138,2000-01-31,TROW,38.87500
10138,2000-02-29,TROW,32.93750
10138,2000-03-31,TROW,39.50000
10138,2000-04-28,TROW,38.12500
10138,2000-05-31,TROW,38.18750
10138,2000-06-30,TROW,42.50000
10138,2000-07-31,TROW,40.87500
10138,2000-08-31,TROW,45.25000
10138,2000-09-29,TROW,46.93750
10138,2000-10-31,TROW,46.81250
10138,2000-11-30,TROW,36.50000
10138,2000-12-29,TROW,42.26563
10138,2001-01-31,TROW,39.00000
10138,2001-02-28,TROW,35.68750
10138,2001-03-30,TROW,31.31250
10138,2001-04-30,TROW,34.76000
10138,2001-05-31,TROW,36.69000
10138,2001-06-29,TROW,37.39000
10138,2001-07-31,TROW,37.96000
10138,2001-08-31,TROW,37.39000
10138,2001-09-28,TROW,29.30000
10138,2001-10-31,TROW,27.76000
10138,2001-11-30,TROW,31.70000
10138,2001-12-31,TROW,34.73000
10138,2002-01-31,TROW,37.58000
10138,2002-02-28,TROW,39.81000
10138,2002-03-28,TROW,38.93000
10138,2002-04-30,TROW,35.07000
10138,2002-05-31,TROW,36.11000
10138,2002-06-28,TROW,32.88000
10138,2002-07-31,TROW,27.03000
10138,2002-08-30,TROW,28.29000
10138,2002-09-30,TROW,24.96000
10138,2002-10-31,TROW,28.23000
10138,2002-11-29,TROW,30.38000
10138,2002-12-31,TROW,27.28000
10138,2003-01-31,TROW,26.74000
10138,2003-02-28,TROW,25.72000
10138,2003-03-31,TROW,27.12000
10138,2003-04-30,TROW,30.52000
10138,2003-05-30,TROW,36.71000
10138,2003-06-30,TROW,37.77000
10138,2003-07-31,TROW,40.52000
10138,2003-08-29,TROW,42.58000
10138,2003-09-30,TROW,41.28000
10138,2003-10-31,TROW,40.93000
10138,2003-11-28,TROW,42.04000
10138,2003-12-31,TROW,47.41000
10138,2004-01-30,TROW,52.16000
10138,2004-02-27,TROW,52.59000
10138,2004-03-31,TROW,53.83000
10138,2004-04-30,TROW,51.28000
10138,2004-05-28,TROW,48.16000
10138,2004-06-30,TROW,50.40000
10138,2004-07-30,TROW,46.22000
10138,2004-08-31,TROW,49.53000
10138,2004-09-30,TROW,50.94000
10138,2004-10-29,TROW,55.77000
10138,2004-11-30,TROW,59.16000
10138,2004-12-31,TROW,62.20000
10138,2005-01-31,TROW,59.85000
10138,2005-02-28,TROW,61.39000
10138,2005-03-31,TROW,59.38000
10138,2005-04-29,TROW,55.17000
10138,2005-05-31,TROW,59.66000
10138,2005-06-30,TROW,62.60000
10138,2005-07-29,TROW,66.35000
10138,2005-08-31,TROW,63.00000
10138,2005-09-30,TROW,65.30000
10138,2005-10-31,TROW,65.52000
10138,2005-11-30,TROW,71.95000
10138,2005-12-30,TROW,72.03000
10138,2006-01-31,TROW,76.43000
10138,2006-02-28,TROW,76.78000
10138,2006-03-31,TROW,78.21000
10138,2006-04-28,TROW,84.19000
10138,2006-05-31,TROW,79.10000
10138,2006-06-30,TROW,37.81000
10138,2006-07-31,TROW,41.31000
10138,2006-08-31,TROW,44.06000
10138,2006-09-29,TROW,47.85000
10138,2006-10-31,TROW,47.31000
10138,2006-11-30,TROW,43.33000
10138,2006-12-29,TROW,43.77000
10138,2007-01-31,TROW,47.98000
10138,2007-02-28,TROW,46.56000
10138,2007-03-30,TROW,47.19000
10138,2007-04-30,TROW,49.68000
10138,2007-05-31,TROW,51.35000
10138,2007-06-29,TROW,51.89000
10138,2007-07-31,TROW,52.13000
10138,2007-08-31,TROW,51.32000
10138,2007-09-28,TROW,55.69000
10138,2007-10-31,TROW,64.24000
10138,2007-11-30,TROW,61.48000
10138,2007-12-31,TROW,60.88000
10138,2008-01-31,TROW,50.59000
10138,2008-02-29,TROW,50.53000
10138,2008-03-31,TROW,50.00000
10138,2008-04-30,TROW,58.56000
10138,2008-05-30,TROW,57.92000
10138,2008-06-30,TROW,56.47000
10138,2008-07-31,TROW,59.85000
10138,2008-08-29,TROW,59.36000
10138,2008-09-30,TROW,53.71000
10138,2008-10-31,TROW,39.54000
10138,2008-11-28,TROW,34.21000
10138,2008-12-31,TROW,35.44000
10138,2009-01-30,TROW,27.58000
10138,2009-02-27,TROW,22.74000
10138,2009-03-31,TROW,28.86000
10138,2009-04-30,TROW,38.52000
10138,2009-05-29,TROW,40.57000
10138,2009-06-30,TROW,41.67000
10138,2009-07-31,TROW,46.71000
10138,2009-08-31,TROW,45.30000
10138,2009-09-30,TROW,45.70000
10138,2009-10-30,TROW,48.73000
10138,2009-11-30,TROW,48.93000
10138,2009-12-31,TROW,53.25000
10138,2010-01-29,TROW,49.62000
10138,2010-02-26,TROW,50.69000
10138,2010-03-31,TROW,54.97000
10138,2010-04-30,TROW,57.54000
10138,2010-05-28,TROW,49.52000
10138,2010-06-30,TROW,44.39000
10138,2010-07-30,TROW,48.23000
10138,2010-08-31,TROW,43.79000
10138,2010-09-30,TROW,50.06500
10138,2010-10-29,TROW,55.27000
10138,2010-11-30,TROW,58.33000
10138,2010-12-31,TROW,64.54000
10138,2011-01-31,TROW,65.92000
10138,2011-02-28,TROW,66.98000
10138,2011-03-31,TROW,66.42000
10138,2011-04-29,TROW,64.25000
10138,2011-05-31,TROW,63.30000
10138,2011-06-30,TROW,60.34000
10138,2011-07-29,TROW,56.80000
10138,2011-08-31,TROW,53.48000
10138,2011-09-30,TROW,47.77000
10138,2011-10-31,TROW,52.84000
10138,2011-11-30,TROW,56.76000
10138,2011-12-30,TROW,56.95000
10138,2012-01-31,TROW,57.84000
10138,2012-02-29,TROW,61.59000
10138,2012-03-30,TROW,65.30000
10138,2012-04-30,TROW,63.11500
10138,2012-05-31,TROW,57.59000
10138,2012-06-29,TROW,62.96000
10138,2012-07-31,TROW,60.75000
10138,2012-08-31,TROW,61.44000
10138,2012-09-28,TROW,63.30000
10138,2012-10-31,TROW,64.88000
10138,2012-11-30,TROW,64.67000
10138,2012-12-31,TROW,65.11710
10138,2013-01-31,TROW,71.41000
10138,2013-02-28,TROW,71.19000
10138,2013-03-28,TROW,74.87000
10138,2013-04-30,TROW,72.50000
10138,2013-05-31,TROW,75.91000
10138,2013-06-28,TROW,73.20000
10138,2013-07-31,TROW,75.24000
10138,2013-08-30,TROW,70.14000
10138,2013-09-30,TROW,71.93000
